country,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,sum_2001_2022
Bolivia,30,108339285,64521463,62714153,617222,140321,178808,163759,203251,250748,216315,189953,369851,225270,451759,330239,273544,179823,256901,166275,470601,463194,301856,852090,429780,558393,595996,7268727
Paraguay,30,39958668,24296868,20452833,642488,150239,195125,267309,247348,262651,148256,426216,376343,353184,442300,457196,510220,318564,345746,279375,319823,360058,258780,314373,243379,277165,217142,6770792
Argentina,30,278010122,39086979,38380241,1107735,147806,105002,249155,433430,367249,316447,425345,592753,309858,413231,499187,478178,376777,241103,180233,230189,233920,172958,145444,197379,201882,232224,6549750
Sweden,30,45004558,27883714,29064876,1671285,144927,178264,92619,271564,248560,249126,182858,293724,208258,263646,205321,234883,197658,242523,216031,310348,331217,290151,332891,339968,333157,329902,5497596
Colombia,30,113675875,81801036,81738198,1085199,230055,182229,122417,253840,188744,189964,269029,231849,237891,197067,189829,227707,138898,202028,140856,290956,424870,352434,268410,324169,265168,265769,5194179
Mexico,30,195185465,53177142,50346718,1423107,158303,158834,152559,169841,206856,179044,218601,184377,281232,166729,186771,174753,219048,170750,197651,274183,298788,267151,327438,299526,189079,178858,4660372
Madagascar,30,59144707,17141086,16436355,173322,86957,89318,84248,81845,93628,71034,188580,123502,136537,107219,162323,128468,299350,416682,301789,383656,510357,366620,254243,241112,234880,256379,4618727
Myanmar,30,66929667,42863374,40919357,636627,44804,66120,77224,102186,91847,127464,146598,119216,216306,169913,135716,225189,248186,331445,293305,362552,341845,278709,309418,310005,304152,260938,4563138
Finland,30,33693918,21627652,22817319,1357022,151003,142432,89697,146602,230334,182295,151915,200192,176320,167507,159355,160310,148661,186629,172639,240428,336199,269955,289910,254473,266899,255378,4379133
Laos,30,23000148,19129552,17941851,101748,36475,55937,87074,64248,68327,122678,132995,80592,145564,167108,130933,147537,205607,243833,285029,388035,349137,294666,364710,357547,317575,321699,4367306
Mozambique,30,78729717,28917947,26973824,583188,60937,106658,79644,107726,150558,172224,138493,204760,217493,194545,150242,139946,162656,200501,181387,250553,359011,172398,235658,232509,278039,237826,4033764
Peru,30,129281869,78087223,78780800,430186,86014,80452,73869,101320,163023,88916,115743,126614,177914,142324,125265,275458,209307,205452,166500,230962,303281,211726,231257,278657,225204,236122,3855380
Angola,30,124742298,55292492,53847201,1224126,101221,61034,52462,71274,93435,76940,145287,103582,165948,159806,182928,180755,168841,212662,161719,229710,280456,242552,175098,248028,298294,266942,3678974
Russia,30,1689455452,761226497,754772096,37220539,1826603,2700384,3030069,3521018,1589993,2233420,2338923,3047988,2111641,1859545,3021488,5391244,4965537,4489889,2332111,5051686,5288941,5560431,3686557,5442086,6518852,4287817,80296223
Brazil,30,850035650,519187508,498198382,8062336,2746362,3507049,3248527,3848771,3486563,2876805,2621820,2444308,1817901,2688896,1923364,2918633,1945506,2693134,2222772,5378844,4519833,2948462,2696749,3291392,2991909,3308930,66126530
Canada,30,983422994,418066983,421403220,16965179,1358155,2316888,1607283,2706459,2920793,2406191,2117900,1949008,1550372,2104876,2160701,2545494,2807338,2643609,2733439,2084426,2559736,2142937,2175716,1195272,2524986,2299844,48911423
United States,30,947295610,279376628,271962125,13986700,1943319,2038436,1649384,2746257,2691544,2605856,2435128,2213724,1608981,2167662,1663692,1964094,1736445,1736527,2289649,2264067,2311358,2092359,2109918,1966716,2044299,2204643,46484058
Indonesia ,30,189024469,160641223,157793272,4882138,744088,855276,544810,1289043,1182442,1433150,1387625,1396251,1944963,1279332,1543629,2260261,1139299,1894361,1746471,2422072,1300719,1218733,1176884,961588,841391,885238,29447626
D. R. of Congo,30,232912781,199281687,198452936,1591179,455517,514477,274740,400044,485293,453171,462903,404831,635215,810712,429540,631000,920604,1337961,928116,1381278,1467957,1373807,1220177,1309976,1247857,1220169,18365345
China,30,938223516,162748596,154440711,6689626,230289,249151,261761,501544,383590,575233,652979,738031,599603,627826,598587,605004,441326,531643,490445,718689,644239,569453,496972,422214,536656,611896,11487131
Malaysia,30,32938349,29430562,28632041,1004945,332497,312554,183911,351802,375420,333901,405159,367972,622780,430607,463078,628171,333221,645779,454345,565249,483416,437985,395367,268721,277554,248089,8917578
Australia,30,768791340,42280599,39480482,1600600,218816,312150,373847,124769,177024,186304,372717,205725,203711,290725,121316,139803,260094,281738,261575,430903,236876,250751,1661548,2356516,261044,118987,8846939
Côte d'Ivoire,30,32165794,14872640,13953284,881678,122711,144560,86282,48048,65321,97781,90865,127555,108876,92492,124683,96129,175759,346793,152432,221100,357273,324740,242171,248502,183248,172456,3629777
Vietnam,30,32927600,16551332,16371754,1004759,47433,49625,43008,73881,102211,78777,80225,108286,137716,174256,130786,181242,132423,217342,217883,353446,286940,225155,216779,207641,193074,165142,3423271
